grid_id,date,rain_info,delay,road_dec_count,road_dec_ratio,road_dec_mean_after,road_dec_mean_before,road_dec_mean_diff,paddy_dec_count,paddy_dec_ratio,paddy_dec_mean_after,paddy_dec_mean_before,paddy_dec_mean_diff,comp_paddy_ratio_short_minus_long
N03145E13095,2025-08-07,"5h duration, Max 14.8 mm/h",1.3,0,0.0,,,,20831,31.91952314552336,0.021686496,0.03833846,-0.016651966,11.893596722922673
N03145E13095,2019-07-21,"3h duration, Max 9.8 mm/h",5.35,0,0.0,,,,4480,20.025926422600687,0.016395107,0.02614668,-0.009751573,11.893596722922673
N03285E13005,2024-04-02,"3h duration, Max 11.1 mm/h",0.29,0,0.0,,,,13903,7.427966939322865,0.013155507,0.022531336,-0.00937583,-26.04257847871383
N03285E13005,2019-08-27,"1h duration, Max 8.8 mm/h",10.29,0,0.0,,,,53340,33.47054541803669,0.01698876,0.026055954,-0.009067194,-26.04257847871383
N03285E13075,2020-07-03,"4h duration, Max 12.8 mm/h",1.36,0,0.0,,,,21386,27.64156186586359,0.007339035,0.012867123,-0.0055280877,-2.857733717638844
N03285E13075,2021-04-29,"2h duration, Max 8.2 mm/h",7.36,0,0.0,,,,23597,30.499295583502434,0.013588442,0.024165468,-0.010577028,-2.857733717638844
N03285E13085,2020-07-03,"4h duration, Max 12.9 mm/h",1.36,0,0.0,,,,23115,31.502555366269164,0.006008832,0.012070658,-0.006061825,-12.05587734241908
N03285E13085,2021-04-29,"2h duration, Max 8.3 mm/h",7.36,0,0.0,,,,31961,43.558432708688244,0.011365227,0.01971085,-0.008345623,-12.05587734241908
N03285E13115,2025-05-21,"7h duration, Max 12.2 mm/h",0.22,0,0.0,,,,26387,34.63360852616519,0.010785278,0.022850057,-0.01206478,7.026325412991326
N03285E13115,2021-07-16,"4h duration, Max 9.5 mm/h",9.23,0,0.0,,,,19332,27.607283113173864,0.013340667,0.021554718,-0.008214051,7.026325412991326
N03285E13165,2018-09-08,"2h duration, Max 8.8 mm/h",0.15,0,0.0,,,,3861,19.981369352585002,0.023069577,0.036795158,-0.013725579,-9.731657631444858
