GridID,EventDate,SceneID,Type,Mean,Median,Std,Min,Max,Count
N03145E13095,2019-07-21,S1B_IW_GRDH_1SDV_20190709T092115_20190709T092140_017055_020165_8A45,Paddy,-11.1967945,-16.261438,9.642377,-34.98286,0.0,11663
N03145E13095,2019-07-21,S1B_IW_GRDH_1SDV_20190709T092115_20190709T092140_017055_020165_8A45,Road,-15.747939,-17.799618,7.3378944,-32.3344,0.0,954
N03145E13095,2025-08-07,S1A_IW_GRDH_1SDV_20250726T211743_20250726T211808_060260_077D25_82F7,Paddy,-12.739227,-15.37536,7.0753465,-48.345215,0.0,46280
N03145E13095,2025-08-07,S1A_IW_GRDH_1SDV_20250726T211743_20250726T211808_060260_077D25_82F7,Road,-15.965345,-16.724693,5.3246264,-29.305408,0.0,2344
N03285E13005,2019-08-27,S1A_IW_GRDH_1SDV_20190815T211707_20190815T211732_028585_033BBC_05FD,Paddy,-14.932354,-17.394379,7.070254,-35.570236,2.1344016,107665
N03285E13005,2019-08-27,S1A_IW_GRDH_1SDV_20190815T211707_20190815T211732_028585_033BBC_05FD,Road,-11.635124,-15.313576,8.237363,-27.363913,0.0,1431
N03285E13005,2024-04-02,S1A_IW_GRDH_1SDV_20240321T211729_20240321T211754_053085_066DF7_AFE5,Paddy,-16.384607,-19.89561,8.794487,-37.96433,0.0,140305
N03285E13005,2024-04-02,S1A_IW_GRDH_1SDV_20240321T211729_20240321T211754_053085_066DF7_AFE5,Road,-13.841919,-17.232342,8.370947,-26.786957,0.0,1425
N03285E13075,2020-07-03,S1B_IW_GRDH_1SDV_20200621T092145_20200621T092210_022130_029FFD_8C26,Paddy,-16.181532,-21.036194,10.72869,-45.763733,0.0,43165
N03285E13075,2020-07-03,S1B_IW_GRDH_1SDV_20200621T092145_20200621T092210_022130_029FFD_8C26,Road,-14.810101,-17.102922,7.2160907,-29.587456,0.0,2030
N03285E13075,2021-04-29,S1B_IW_GRDH_1SDV_20210417T092147_20210417T092212_026505_032A1B_4CE3,Paddy,-13.325874,-17.327087,8.725691,-33.966934,0.0,43016
N03285E13075,2021-04-29,S1B_IW_GRDH_1SDV_20210417T092147_20210417T092212_026505_032A1B_4CE3,Road,-14.981088,-17.250164,7.368404,-32.100964,0.0,2029
N03285E13085,2020-07-03,S1B_IW_GRDH_1SDV_20200621T092145_20200621T092210_022130_029FFD_8C26,Paddy,-20.891008,-23.16446,8.681692,-47.81539,0.0,42087
N03285E13085,2020-07-03,S1B_IW_GRDH_1SDV_20200621T092145_20200621T092210_022130_029FFD_8C26,Road,0.0,0.0,0.0,0.0,0.0,697
N03285E13085,2021-04-29,S1B_IW_GRDH_1SDV_20210417T092147_20210417T092212_026505_032A1B_4CE3,Paddy,-16.393497,-18.086481,6.711642,-40.237144,0.0,42183
N03285E13085,2021-04-29,S1B_IW_GRDH_1SDV_20210417T092147_20210417T092212_026505_032A1B_4CE3,Road,0.0,0.0,0.0,0.0,0.0,700
N03295E12995,2022-07-18,S1A_IW_GRDH_1SDV_20220706T211723_20220706T211748_043985_05401E_DDBB,Paddy,-20.848242,-21.72536,6.1418376,-47.00134,0.0,35780
N03295E12995,2022-07-18,S1A_IW_GRDH_1SDV_20220706T211723_20220706T211748_043985_05401E_DDBB,Road,-17.258524,-18.160019,5.8480926,-38.821358,0.0,1896
N03295E12995,2024-04-02,S1A_IW_GRDH_1SDV_20240321T211729_20240321T211754_053085_066DF7_AFE5,Paddy,-19.38023,-20.183361,5.2096796,-39.588997,0.0,35780
N03295E12995,2024-04-02,S1A_IW_GRDH_1SDV_20240321T211729_20240321T211754_053085_066DF7_AFE5,Road,-18.035494,-18.749132,5.987634,-33.360683,0.0,1894
