scene_stem,zip_path,pol,status,output_path
S1A_EW_GRDM_1SDV_20160827T205058_20160827T205158_012791_014285_D834,D:\shuron\downloads\S1A_EW_GRDM_1SDV_20160827T205058_20160827T205158_012791_014285_D834.zip,,skipped_non_iw_grd,
S1A_IW_GRDH_1SDV_20170710T205910_20170710T205939_017414_01D17C_9045,D:\shuron\downloads\S1A_IW_GRDH_1SDV_20170710T205910_20170710T205939_017414_01D17C_9045.zip,VV,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VV\S1A_IW_GRDH_1SDV_20170710T205910_20170710T205939_017414_01D17C_9045__VV_proc.tif
S1A_IW_GRDH_1SDV_20170710T205910_20170710T205939_017414_01D17C_9045,D:\shuron\downloads\S1A_IW_GRDH_1SDV_20170710T205910_20170710T205939_017414_01D17C_9045.zip,VH,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VH\S1A_IW_GRDH_1SDV_20170710T205910_20170710T205939_017414_01D17C_9045__VH_proc.tif
S1A_IW_GRDH_1SDV_20170722T205911_20170722T205940_017589_01D6CD_6867,D:\shuron\downloads\S1A_IW_GRDH_1SDV_20170722T205911_20170722T205940_017589_01D6CD_6867.zip,VV,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VV\S1A_IW_GRDH_1SDV_20170722T205911_20170722T205940_017589_01D6CD_6867__VV_proc.tif
S1A_IW_GRDH_1SDV_20170722T205911_20170722T205940_017589_01D6CD_6867,D:\shuron\downloads\S1A_IW_GRDH_1SDV_20170722T205911_20170722T205940_017589_01D6CD_6867.zip,VH,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VH\S1A_IW_GRDH_1SDV_20170722T205911_20170722T205940_017589_01D6CD_6867__VH_proc.tif
S1A_IW_GRDH_1SDV_20180623T205916_20180623T205945_022489_026F8C_FC30,D:\sotsuron\rainsar-hub\data\final\SAFE\S1A_IW_GRDH_1SDV_20180623T205916_20180623T205945_022489_026F8C_FC30.zip,VV,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VV\S1A_IW_GRDH_1SDV_20180623T205916_20180623T205945_022489_026F8C_FC30__VV_proc.tif
S1A_IW_GRDH_1SDV_20180623T205916_20180623T205945_022489_026F8C_FC30,D:\sotsuron\rainsar-hub\data\final\SAFE\S1A_IW_GRDH_1SDV_20180623T205916_20180623T205945_022489_026F8C_FC30.zip,VH,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VH\S1A_IW_GRDH_1SDV_20180623T205916_20180623T205945_022489_026F8C_FC30__VH_proc.tif
S1A_IW_GRDH_1SDV_20180705T205916_20180705T205945_022664_0274A8_7185,D:\sotsuron\rainsar-hub\data\final\SAFE\S1A_IW_GRDH_1SDV_20180705T205916_20180705T205945_022664_0274A8_7185.zip,VV,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VV\S1A_IW_GRDH_1SDV_20180705T205916_20180705T205945_022664_0274A8_7185__VV_proc.tif
S1A_IW_GRDH_1SDV_20180705T205916_20180705T205945_022664_0274A8_7185,D:\sotsuron\rainsar-hub\data\final\SAFE\S1A_IW_GRDH_1SDV_20180705T205916_20180705T205945_022664_0274A8_7185.zip,VH,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VH\S1A_IW_GRDH_1SDV_20180705T205916_20180705T205945_022664_0274A8_7185__VH_proc.tif
S1A_IW_GRDH_1SDV_20180817T205055_20180817T205124_023291_028863_FC71,D:\shuron\downloads\S1A_IW_GRDH_1SDV_20180817T205055_20180817T205124_023291_028863_FC71.zip,VV,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VV\S1A_IW_GRDH_1SDV_20180817T205055_20180817T205124_023291_028863_FC71__VV_proc.tif
S1A_IW_GRDH_1SDV_20180817T205055_20180817T205124_023291_028863_FC71,D:\shuron\downloads\S1A_IW_GRDH_1SDV_20180817T205055_20180817T205124_023291_028863_FC71.zip,VH,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VH\S1A_IW_GRDH_1SDV_20180817T205055_20180817T205124_023291_028863_FC71__VH_proc.tif
S1A_IW_GRDH_1SDV_20180829T205056_20180829T205125_023466_028DF4_4120,D:\shuron\downloads\S1A_IW_GRDH_1SDV_20180829T205056_20180829T205125_023466_028DF4_4120.zip,VV,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VV\S1A_IW_GRDH_1SDV_20180829T205056_20180829T205125_023466_028DF4_4120__VV_proc.tif
S1A_IW_GRDH_1SDV_20180829T205056_20180829T205125_023466_028DF4_4120,D:\shuron\downloads\S1A_IW_GRDH_1SDV_20180829T205056_20180829T205125_023466_028DF4_4120.zip,VH,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VH\S1A_IW_GRDH_1SDV_20180829T205056_20180829T205125_023466_028DF4_4120__VH_proc.tif
S1A_IW_GRDH_1SDV_20180910T205057_20180910T205126_023641_029390_DEF7,D:\shuron\downloads\S1A_IW_GRDH_1SDV_20180910T205057_20180910T205126_023641_029390_DEF7.zip,VV,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VV\S1A_IW_GRDH_1SDV_20180910T205057_20180910T205126_023641_029390_DEF7__VV_proc.tif
S1A_IW_GRDH_1SDV_20180910T205057_20180910T205126_023641_029390_DEF7,D:\shuron\downloads\S1A_IW_GRDH_1SDV_20180910T205057_20180910T205126_023641_029390_DEF7.zip,VH,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VH\S1A_IW_GRDH_1SDV_20180910T205057_20180910T205126_023641_029390_DEF7__VH_proc.tif
S1A_IW_GRDH_1SDV_20190618T205921_20190618T205950_027739_032196_5084,D:\shuron\downloads\S1A_IW_GRDH_1SDV_20190618T205921_20190618T205950_027739_032196_5084.zip,VV,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VV\S1A_IW_GRDH_1SDV_20190618T205921_20190618T205950_027739_032196_5084__VV_proc.tif
S1A_IW_GRDH_1SDV_20190618T205921_20190618T205950_027739_032196_5084,D:\shuron\downloads\S1A_IW_GRDH_1SDV_20190618T205921_20190618T205950_027739_032196_5084.zip,VH,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VH\S1A_IW_GRDH_1SDV_20190618T205921_20190618T205950_027739_032196_5084__VH_proc.tif
S1A_IW_GRDH_1SDV_20190630T205922_20190630T205951_027914_0326CE_3EB1,D:\shuron\downloads\S1A_IW_GRDH_1SDV_20190630T205922_20190630T205951_027914_0326CE_3EB1.zip,VV,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VV\S1A_IW_GRDH_1SDV_20190630T205922_20190630T205951_027914_0326CE_3EB1__VV_proc.tif
S1A_IW_GRDH_1SDV_20190630T205922_20190630T205951_027914_0326CE_3EB1,D:\shuron\downloads\S1A_IW_GRDH_1SDV_20190630T205922_20190630T205951_027914_0326CE_3EB1.zip,VH,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VH\S1A_IW_GRDH_1SDV_20190630T205922_20190630T205951_027914_0326CE_3EB1__VH_proc.tif
S1A_IW_GRDH_1SDV_20200725T205107_20200725T205136_033616_03E565_126D,D:\shuron\downloads\S1A_IW_GRDH_1SDV_20200725T205107_20200725T205136_033616_03E565_126D.zip,VV,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VV\S1A_IW_GRDH_1SDV_20200725T205107_20200725T205136_033616_03E565_126D__VV_proc.tif
S1A_IW_GRDH_1SDV_20200725T205107_20200725T205136_033616_03E565_126D,D:\shuron\downloads\S1A_IW_GRDH_1SDV_20200725T205107_20200725T205136_033616_03E565_126D.zip,VH,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VH\S1A_IW_GRDH_1SDV_20200725T205107_20200725T205136_033616_03E565_126D__VH_proc.tif
S1A_IW_GRDH_1SDV_20200806T205107_20200806T205136_033791_03EAD9_F312,D:\shuron\downloads\S1A_IW_GRDH_1SDV_20200806T205107_20200806T205136_033791_03EAD9_F312.zip,VV,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VV\S1A_IW_GRDH_1SDV_20200806T205107_20200806T205136_033791_03EAD9_F312__VV_proc.tif
S1A_IW_GRDH_1SDV_20200806T205107_20200806T205136_033791_03EAD9_F312,D:\shuron\downloads\S1A_IW_GRDH_1SDV_20200806T205107_20200806T205136_033791_03EAD9_F312.zip,VH,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VH\S1A_IW_GRDH_1SDV_20200806T205107_20200806T205136_033791_03EAD9_F312__VH_proc.tif
S1A_IW_GRDH_1SDV_20220808T205120_20220808T205149_044466_054E64_BBC6,D:\shuron\downloads\S1A_IW_GRDH_1SDV_20220808T205120_20220808T205149_044466_054E64_BBC6.zip,,skipped_invalid_zip,
S1A_IW_GRDH_1SDV_20220820T205120_20220820T205149_044641_055447_90A0,D:\shuron\downloads\S1A_IW_GRDH_1SDV_20220820T205120_20220820T205149_044641_055447_90A0.zip,VV,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VV\S1A_IW_GRDH_1SDV_20220820T205120_20220820T205149_044641_055447_90A0__VV_proc.tif
